epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2501.63,0.96345,0.69772,1.1426,0.89514,0.70268,0.76812,0.59144,0.75841,0.55027,1.00861,0.000590004,0.000590004,0.000590004
43,2560.07,0.94971,0.67191,1.13394,0.9022,0.70223,0.78284,0.61298,0.70126,0.52163,1.00779,0.000580004,0.000580004,0.000580004
44,2617.61,0.95494,0.67908,1.13341,0.89847,0.70525,0.77774,0.59211,0.77159,0.55123,1.00984,0.000570004,0.000570004,0.000570004
45,2675.14,0.95777,0.69095,1.13213,0.93474,0.68567,0.78432,0.59372,0.76819,0.54002,1.013,0.000560004,0.000560004,0.000560004
46,2736.95,0.95114,0.68259,1.12644,0.87919,0.7126,0.78043,0.6034,0.74124,0.54487,1.01939,0.000550005,0.000550005,0.000550005
47,2796.08,0.92766,0.67016,1.11878,0.88811,0.70746,0.77652,0.58157,0.82681,0.57469,1.02951,0.000540005,0.000540005,0.000540005
48,2853.7,0.93711,0.66582,1.11442,0.94152,0.69549,0.78485,0.597,0.7898,0.5536,1.02184,0.000530005,0.000530005,0.000530005
49,2911.38,0.93772,0.65852,1.13143,0.92038,0.70433,0.78799,0.59885,0.76223,0.52802,0.99729,0.000520005,0.000520005,0.000520005
50,2968.87,0.91912,0.64395,1.10841,0.90973,0.70525,0.7775,0.60323,0.73534,0.53179,0.99932,0.000510005,0.000510005,0.000510005
51,3026.61,0.91757,0.64188,1.11068,0.90775,0.71865,0.79186,0.59866,0.79042,0.53256,1.00797,0.000500005,0.000500005,0.000500005
52,3084.64,0.92611,0.65064,1.11099,0.9236,0.71258,0.79215,0.61404,0.71803,0.51395,0.97999,0.000490005,0.000490005,0.000490005
53,3142.68,0.91349,0.64562,1.11553,0.90705,0.71265,0.7999,0.61914,0.70194,0.51357,0.98372,0.000480005,0.000480005,0.000480005
54,3211.3,0.91486,0.61968,1.09984,0.88913,0.71294,0.79558,0.61217,0.72443,0.50506,0.98842,0.000470005,0.000470005,0.000470005
55,3292.98,0.89413,0.61723,1.09478,0.89947,0.71663,0.79068,0.60684,0.75069,0.53391,1.00637,0.000460005,0.000460005,0.000460005
56,3352.38,0.8905,0.61581,1.09275,0.91872,0.7146,0.79065,0.61836,0.7062,0.51882,0.99046,0.000450006,0.000450006,0.000450006
57,3415.07,0.88673,0.61453,1.09084,0.89358,0.72954,0.79479,0.62437,0.66487,0.50824,0.97402,0.000440006,0.000440006,0.000440006
58,3473.63,0.881,0.59542,1.09197,0.91763,0.72627,0.79176,0.61851,0.72644,0.4999,1.00201,0.000430006,0.000430006,0.000430006
59,3531.17,0.86758,0.60329,1.08247,0.90998,0.71933,0.79559,0.61515,0.72714,0.50948,0.97215,0.000420006,0.000420006,0.000420006
60,3588.71,0.86263,0.6029,1.0843,0.93501,0.6936,0.78639,0.60818,0.74582,0.50416,0.99639,0.000410006,0.000410006,0.000410006
61,3646.13,0.85175,0.59075,1.07219,0.91769,0.72181,0.7974,0.61846,0.73034,0.50171,0.97827,0.000400006,0.000400006,0.000400006
62,3703.33,0.84962,0.59071,1.06839,0.90633,0.73268,0.79555,0.61889,0.72079,0.50203,0.96541,0.000390006,0.000390006,0.000390006
63,3760.98,0.82832,0.57144,1.06267,0.92065,0.72872,0.7989,0.62042,0.71473,0.48444,0.99248,0.000380006,0.000380006,0.000380006
64,3843.49,0.80686,0.55635,1.0458,0.92321,0.71778,0.79495,0.60816,0.73658,0.49449,0.97582,0.000370006,0.000370006,0.000370006
65,3901.41,0.828,0.5823,1.05981,0.91295,0.72009,0.7945,0.61813,0.7497,0.52624,1.00506,0.000360006,0.000360006,0.000360006
66,3962.46,0.8226,0.57855,1.05182,0.92019,0.72391,0.80356,0.61619,0.71625,0.48971,0.97257,0.000350006,0.000350006,0.000350006
67,4022.19,0.78867,0.53753,1.03558,0.91313,0.72058,0.80575,0.63362,0.68849,0.48865,0.96783,0.000340007,0.000340007,0.000340007
68,4083.22,0.78878,0.55666,1.04023,0.908,0.74238,0.81198,0.63521,0.68363,0.48379,0.95848,0.000330007,0.000330007,0.000330007
